subject,instr_eval,Num,Rank,course_eval,Num,Rank
Calculus,Good,2,7.5,Good,2,21.5
Calculus,Excellent,3,26.5,Fair,1,7.5
Calculus,Good,2,7.5,Fair,1,7.5
Calculus,Good,2,7.5,Poor,0,3.5
Calculus,Excellent,3,26.5,Good,2,21.5
Calculus,Excellent,3,26.5,Good,2,21.5
Calculus,Good,2,7.5,Poor,0,3.5
Calculus,Good,2,7.5,Good,2,21.5
Calculus,Good,2,7.5,Poor,0,3.5
Calculus,Excellent,3,26.5,Good,2,21.5
Calculus,Excellent,3,26.5,Good,2,21.5
Calculus,Excellent,3,26.5,Good,2,21.5
Calculus,Excellent,3,26.5,Good,2,21.5
Calculus,Excellent,3,26.5,Good,2,21.5
Calculus,Excellent,3,26.5,Poor,0,3.5
Calculus,Good,2,7.5,Good,2,21.5
Calculus,Good,2,7.5,Good,2,21.5
Calculus,Excellent,3,26.5,Good,2,21.5
Calculus,Good,2,7.5,Good,2,21.5
Calculus,Good,2,7.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Excellent,3,37.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Excellent,3,37.5
Thermodynamics,Fair,1,2,Poor,0,3.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Excellent,3,37.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Excellent,3,37.5
Thermodynamics,Excellent,3,26.5,Excellent,3,37.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Excellent,3,37.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Poor,0,1,Poor,0,3.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
Thermodynamics,Excellent,3,26.5,Good,2,21.5
