Tank Temp,Tank Pressure,Gasoline Temp,Gasoline Pressure,Hydrocarbons
61,4.64,60,4.53,34
36,3.38,54,3.43,28
34,3,36,3,21
59,3.98,62,3.98,28
59,4.36,58,4.23,35
61,4.27,61,4.27,32
90,6.6,90,6.6,46
60,4.45,59,4.45,33
90,7.32,56,7.2,45
62,4.39,61,4.39,32
60,4.19,61,4.27,32
34,3.22,35,3.22,23
60,4.31,62,4.42,34
92,7.38,90,7.26,55
60,4.02,61,4.11,34
37,3.39,51,3.08,22
60,4.72,60,4.72,28
61,3.91,62,3.99,28
33,3.18,51,3.18,26
60,4.52,60,4.47,33
59,3.98,61,4.02,36
59,4.47,60,4.34,33
34,2.9,35,2.95,20
34,3.17,54,3.4,27
59,4.19,60,4.27,31
61,4.11,63,4.11,26
60,4.8,59,4.72,35
37,3.26,35,3.12,22
61,4.32,57,4.21,33
36,3.27,35,3.27,23
32,3.16,34,3.16,23
62,4.74,60,4.53,33
60,4.02,61,3.98,29
59,4.39,62,4.53,34
61,4.5,59,4.4,34
60,4.02,61,4.1,37
59,4.78,57,4.64,33
37,2.73,35,2.64,19
60,4.02,62,4.11,36
92,6.8,87,6.48,43
37,2.8,35,2.68,20
91,6.7,89,6.6,45
61,4.11,62,4.2,31
59,4.6,60,4.41,32
35,2.59,35,2.59,16
92,7.45,92,7.45,55
92,7.45,92,7.45,58
60,4.72,60,4.72,34
59,4.78,56,4.59,33
61,4.11,61,4.11,28
60,4.02,61,4.11,30
60,4.19,61,4.19,32
60,4.02,62,3.98,33
90,7.32,64,6.7,40
60,4.02,61,4.02,29
60,4.31,61,4.42,31
35,3.23,35,3.12,22
35,2.59,35,2.62,19
28,3,33,3.49,22
60,4.02,62,4.02,29
61,4.11,62,4.11,28
60,4.02,61,4.2,31
33,3.12,50,3.02,19
35,3.03,35,3.03,21
57,4.32,59,4.32,27
62,4.62,63,4.53,35
62,3.99,68,4.22,30
91,6.7,69,5.92,32
60,4.4,59,4.36,36
62,4.2,62,4.2,35
60,4.02,61,4.11,38
59,3.98,61,4.11,35
93,7.07,68,6.38,35
60,4.02,61,4.02,33
92,7.45,89,7.37,58
29,3,52,3.28,29
60,4.52,59,4.47,33
61,4.1,62,4.2,30
59,4.17,60,4.17,31
59,3.75,44,3.54,22
59,3.98,62,4.2,29
62,4.41,38,3.49,24
91,7.26,92,7.26,52
34,3.2,51,3.07,21
57,4.32,60,4.32,28
61,4.11,62,4.2,28
39,3.37,57,3.49,28
60,4.27,36,3.94,23
36,3.2,54,3.41,27
90,7.32,60,7.2,46
35,2.59,36,2.62,18
31,3.1,36,3.26,24
60,4.48,62,4.62,34
62,4.2,62,4.2,30
37,2.73,37,2.59,22
35,3.23,35,3.06,21
59,3.98,63,4.3,29
40,2.98,35,2.8,22
58,4.1,35,3.29,21
88,6.48,65,5.8,31
