Paper ID,Timestamp,Type,Duration (s)
O00,3:43:44 PM,Boat,115.58
B00,3:44:16 PM,Plane,148.18
O01,3:44:53 PM,Plane,69.62
Y00,3:45:22 PM,Boat,214.22
Y01,3:45:49 PM,Plane,26.79
V00,3:46:00 PM,Plane,251.78
O02,3:46:24 PM,Boat,90.13
V01,3:46:29 PM,Boat,29.19
G00,3:46:51 PM,Plane,302.34
G01,3:47:04 PM,Plane,13.01
R00,3:47:19 PM,Plane,330.99
B01,3:47:46 PM,Boat,209.49
B02,3:47:48 PM,Plane,1.68
O03,3:48:16 PM,Boat,112
V02,3:48:16 PM,Plane,107.09
O04,3:49:22 PM,Boat,66.86
G02,3:49:23 PM,Plane,139.06
V03,3:49:40 PM,Boat,84.05
V04,3:49:56 PM,Plane,16.1
R01,3:50:24 PM,Plane,184.72
O05,3:50:35 PM,Plane,72.35
O06,3:51:16 PM,Boat,40.82
B03,3:51:19 PM,Boat,211.21
V05,3:51:30 PM,Plane,93.23
Y02,3:51:46 PM,Boat,356.32
G03,3:51:48 PM,Plane,145.61
Y03,3:52:05 PM,Boat,19.21
O07,3:52:23 PM,Plane,67.8
B04,3:52:27 PM,Boat,68.62
V06,3:52:55 PM,Boat,85.01
G04,3:52:56 PM,Plane,67.66
V07,3:53:07 PM,Plane,11.89
O08,3:53:24 PM,Boat,60.59
B05,3:53:27 PM,Boat,59.87
B06,3:53:55 PM,Boat,27.44
O09,3:54:30 PM,Plane,66.07
G05,3:54:57 PM,Boat,121.38
G06,3:55:03 PM,Plane,5.38
R02,3:55:17 PM,Boat,293.34
O10,3:55:37 PM,Boat,67.32
V08,3:55:42 PM,Plane,155.59
Y04,3:56:04 PM,Boat,239.29
V09,3:56:06 PM,Boat,23.84
B07,3:56:37 PM,Boat,162.42
B08,3:56:39 PM,Boat,2.36
V10,3:57:09 PM,Plane,63.21
G07,3:57:20 PM,Plane,137.22
O11,3:57:24 PM,Boat,106.87
O12,3:57:38 PM,Plane,13.45
Y05,3:58:15 PM,Plane,131.05
O13,3:58:31 PM,Boat,53.16
R03,3:58:42 PM,Boat,204.68
Y06,3:58:43 PM,Plane,27.95
V11,3:58:55 PM,Plane,106
G08,3:59:14 PM,Plane,114.39
Y07,3:59:14 PM,Plane,31.29
B09,3:59:39 PM,Boat,179.22
V12,3:59:40 PM,Boat,45.16
Y08,3:59:58 PM,Boat,43.52
G09,4:00:11 PM,Boat,56.79
B10,4:00:13 PM,Boat,33.83
R04,4:00:24 PM,Boat,102.16
O14,4:00:43 PM,Boat,132.61
O15,4:00:51 PM,Plane,7.7
G10,4:01:03 PM,Plane,52.15
V13,4:01:10 PM,Plane,89.61
R05,4:01:26 PM,Boat,62.01
B11,4:01:39 PM,Plane,86.13
B12,4:01:48 PM,Boat,9.65
Y09,4:02:08 PM,Plane,129.9
O16,4:02:08 PM,Boat,76.72
V14,4:02:29 PM,Plane,79.19
Y10,4:02:41 PM,Plane,33.07
O17,4:02:57 PM,Plane,48.96
V15,4:02:59 PM,Boat,29.98
R06,4:03:10 PM,Boat,103.52
G11,4:03:20 PM,Plane,136.76
B13,4:03:27 PM,Plane,98.91
G12,4:03:33 PM,Boat,13.36
Y11,4:03:44 PM,Boat,63.64
Y12,4:03:58 PM,Plane,13.61
Y13,4:04:02 PM,Plane,3.81
O18,4:04:11 PM,Plane,74.3
V16,4:04:22 PM,Plane,82.57
R07,4:04:31 PM,Plane,81.61
B14,4:04:32 PM,Boat,64.71
Y14,4:04:42 PM,Plane,40.52
V17,4:04:53 PM,Plane,31.32
B15,4:05:07 PM,Plane,35.49
R08,4:05:08 PM,Plane,37.09
G13,4:05:17 PM,Plane,103.95
Y15,4:05:28 PM,Boat,45.14
O19,4:05:36 PM,Plane,84.83
V18,4:05:50 PM,Plane,56.82
O20,4:05:51 PM,Boat,15.17
B16,4:06:00 PM,Plane,52.3
G14,4:06:11 PM,Boat,53.91
O21,4:06:20 PM,Plane,29
Y16,4:06:20 PM,Plane,52.87
R09,4:06:44 PM,Plane,95.16
B17,4:06:55 PM,Boat,55.34
V19,4:06:56 PM,Plane,65.92
R10,4:07:07 PM,Plane,23.02
V20,4:07:21 PM,Plane,25.28
B18,4:07:38 PM,Plane,43.24
Y17,4:08:18 PM,Boat,117.88
B19,4:08:39 PM,Plane,61.04
G15,4:08:48 PM,Plane,156.35
O22,4:08:50 PM,Plane,149.84
B20,4:08:58 PM,Plane,18.93
G16,4:09:06 PM,Plane,18.51
O23,4:09:25 PM,Boat,35
