superbowl,toss,winner
1,heads,nfc
2,tails,afc
3,heads,afc
4,tails,nfc
5,tails,nfc
6,heads,afc
7,heads,afc
8,heads,afc
9,tails,afc
10,heads,nfc
11,tails,afc
12,heads,nfc
13,heads,nfc
14,heads,nfc
15,tails,nfc
16,tails,nfc
17,tails,afc
18,heads,afc
19,tails,nfc
20,tails,nfc
21,tails,afc
22,heads,nfc
23,tails,nfc
24,heads,afc
25,heads,afc
26,heads,nfc
27,heads,afc
28,tails,nfc
29,heads,nfc
30,tails,nfc
31,heads,afc
32,tails,nfc
33,tails,nfc
34,tails,nfc
35,tails,nfc
36,heads,nfc
37,tails,nfc
38,tails,nfc
39,tails,nfc
40,tails,nfc
41,heads,nfc
42,tails,nfc
43,heads,nfc
44,heads,nfc
45,heads,nfc
46,heads,afc
47,heads,afc
48,tails,nfc
49,tails,nfc
50,tails,nfc
51,tails,nfc
52,heads,afc
