Dice Roll,,Z Values,,Ceiling Value,,,Z
Dice 1,Dice 2,ZL / 2,ZR / 2,ZL / 2,ZR / 2,,
6,1,3,0.5,3,1,,2
3,3,1.5,1.5,2,2,,0
1,3,0.5,1.5,1,2,,-1
1,2,0.5,1,1,1,,0
4,5,2,2.5,2,3,,-1
2,1,1,0.5,1,1,,0
3,1,1.5,0.5,2,1,,1
1,2,0.5,1,1,1,,0
1,2,0.5,1,1,1,,0
1,6,0.5,3,1,3,,-2
5,6,2.5,3,3,3,,0
1,2,0.5,1,1,1,,0
4,4,2,2,2,2,,0
3,1,1.5,0.5,2,1,,1
2,1,1,0.5,1,1,,0
4,6,2,3,2,3,,-1
5,2,2.5,1,3,1,,2
4,3,2,1.5,2,2,,0
1,3,0.5,1.5,1,2,,-1
2,1,1,0.5,1,1,,0
2,5,1,2.5,1,3,,-2
1,6,0.5,3,1,3,,-2
1,1,0.5,0.5,1,1,,0
4,5,2,2.5,2,3,,-1
5,6,2.5,3,3,3,,0
2,2,1,1,1,1,,0
6,6,3,3,3,3,,0
5,6,2.5,3,3,3,,0
2,2,1,1,1,1,,0
2,3,1,1.5,1,2,,-1
,,,,,,,
,,,,,,,
Z Value,Count of Z,Probability,CDF,,,,
-2,3,0.1,0.1,,,,
-1,6,0.2,0.3,,,,
0,17,0.566666667,0.866666667,,,,
1,2,0.066666667,0.933333333,,,,
2,2,0.066666667,1,,,,
(blank),,,1,,,,
Grand Total,30,1,,,,,
